group,Matriline,AnimalID.text,DOB,Sex,MaternalID.text,Birth.Season,csi_ff_avg,ExitAge2,Died,s_csiff,censored,time,ExitFour,CensorFour,ExitFourYr
F,'073,'1S4,41545,MALE,'29B,2014,0.423118731,2701,1,-1.150561195,0,2702,1460,1,4
F,'004,'6Q4,41512,FEMALE,'2A8,2014,2.000461181,1572,0,1.991062844,1,1573,1460,1,4
F,'004,'0S7,41548,MALE,'32S,2014,1.226247565,2207,0,0.44904633,1,2208,1460,1,4
F,'004,'3S6,41508,FEMALE,'34N,2014,1.172138192,796,0,0.341275625,1,797,796,1,2.180821918
F,'065,'6R0,41506,MALE,'35N,2014,0.494714644,471,0,-1.007962204,1,472,471,1,1.290410959
F,'073,'3S5,41520,FEMALE,'36Z,2014,1.175179824,457,0,0.347333703,1,458,457,1,1.252054795
F,'004,'I143C3,41510,FEMALE,'3C3,2014,1.028890765,402,1,0.055966901,0,403,402,0,1.101369863
F,'065,'8R2,41500,MALE,'3E2,2014,0.969578855,2256,0,-0.062165798,1,2257,1460,1,4
F,'004,'1S2,41523,FEMALE,'40L,2014,0.56123796,461,0,-0.875466404,1,462,461,1,1.263013699
F,'065,'6R1,41505,MALE,'43F,2014,1.452032165,2255,0,0.898745965,1,2256,1460,1,4
F,'065,'6Q2,41503,FEMALE,'43J,2014,0.901812633,1581,0,-0.197137117,1,1582,1460,1,4
F,'004,'7R6,41551,MALE,'44J,2014,1.973003567,2204,0,1.936374972,1,2205,1460,1,4
F,'065,'I144C1,41501,FEMALE,'4C1,2014,2.288463889,39,1,2.564683512,0,40,39,0,0.106849315
F,'073,'7R4,41497,MALE,'4C2,2014,0.640512363,488,0,-0.717574015,1,489,488,1,1.336986301
F,'004,'1S9,41523,FEMALE,'50I,2014,0.572827845,1561,0,-0.852382602,1,1562,1460,1,4
F,'004,'7R3,41513,FEMALE,'50S,2014,1.036314615,470,0,0.070753131,1,471,470,1,1.287671233
F,'065,'0S8,41517,FEMALE,'56E,2014,0.423492894,1567,0,-1.149815967,1,1568,1460,1,4
F,'004,'6Q0,41569,FEMALE,'57H,2014,0.234484783,408,0,-1.526267145,1,409,408,1,1.117808219
F,'065,'0R5,41523,MALE,'60P,2014,1.743250033,2246,0,1.478770332,1,2247,1460,1,4
F,'004,'2S0,41514,FEMALE,'61J,2014,0.362860343,463,0,-1.270579013,1,464,463,1,1.268493151
F,'073,'6Q6,41538,MALE,'62V,2014,0.310462874,2229,0,-1.374940084,1,2230,1460,1,4
